Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,10/18/2018 to 10/27/2018,C4,10/25/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,248.6,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,10/18/2018 to 10/27/2018,C4,10/25/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,251.93,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,08/28/2018 to 09/26/2018,C4,09/14/18,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,251.92,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,08/28/2018 to 09/26/2018,C4,09/07/18,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,6.09,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,08/28/2018 to 09/26/2018,C4,09/14/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,335.62,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,08/28/2018 to 09/26/2018,C4,09/07/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,6.09,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,07/28/2018 to 08/27/2018,C4,08/02/18,AFL-CIO,,,,810 Hialeah Ct.,Helena,MT,59601,,All Other Expenditures,15000.0,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,07/28/2018 to 08/27/2018,C4,08/23/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,83.7,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,06/21/2018 to 07/27/2018,C4,07/05/18,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,29.37,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,06/21/2018 to 07/27/2018,C4,07/05/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,83.7,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,05/20/2018 to 06/20/2018,C4,05/31/18,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,125.96,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,05/20/2018 to 06/20/2018,C4,05/21/18,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,127.35,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,05/20/2018 to 06/20/2018,C4,05/31/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,79.7,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,05/20/2018 to 06/20/2018,C4,05/31/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,125.96,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,05/20/2018 to 06/20/2018,C4,05/21/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,127.35,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,04/27/2018 to 05/19/2018,C4,04/27/18,"Fire Fighters PAC, Montana P",,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,115.5,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,03/02/2018 to 04/26/2018,C4,04/09/18,"Fire Fighters PAC, Montana P",,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,509.41,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,03/02/2018 to 04/26/2018,C4,03/23/18,"Fire Fighters PAC, Montana P",,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,461.06,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,03/02/2018 to 04/26/2018,C4,03/08/18,"Fire Fighters PAC, Montana P",,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,77.0,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,03/02/2018 to 04/26/2018,C4,04/09/18,"Local 521 PAC, Billings Firefighters",,,,530 S. 27th #11,Billings,MT,59101,,All Other Expenditures,509.41,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,03/02/2018 to 04/26/2018,C4,03/23/18,"Local 521 PAC, Billings Firefighters",,,,530 S. 27th #11,Billings,MT,59101,,All Other Expenditures,384.06,Contribution,Primary,,,
Idaho Forest Group 2020 Incidental Committee,04/20/2020 to 04/20/2020,C4,04/17/20,Montana Business PAC,,,,PO Box 1730,Helena,MT,59624,,All Other Expenditures,5000.0,contribution to Business PAC,Primary,,,
"Justice Committee of McGarvey, Heberling, Sullivan & Lacey P.C.",01/22/2020 to 02/05/2020,C4,01/31/20,Montana Law PAC,,,,PO Box 838,Helena,MT,59624,,All Other Expenditures,4824.0,Contribution,Primary,,,
Lazy C LLC Fritzies Casino,12/22/2019 to 12/31/2019,C4,12/22/19,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,500.0,To Support Conservative Candidates and Causes,Primary,,,
League of Women Voters Education Fund,05/25/2020 to 06/25/2020,C4,06/25/20,League of Women Voters Education Fund,,,,1730 M St NW Suite 1000,Washington DC,DC,20036,,All Other Expenditures,75.0,Candidate research and outreach for Primary 2020 election.,Primary,Vote411.org,,Candidate research and outreach for Primary 2020 election between May 25 - June 25
League of Women Voters Education Fund,04/26/2020 to 05/24/2020,C4,05/24/20,League of Women Voters Education Fund,,,,1730 M St NW Suite 1000,Washington DC,DC,20036,,All Other Expenditures,61.64,Candidate research and outreach for Primary 2020 election.,Primary,Vote411.org,,Candidate research and outreach for Primary 2020 election between Aprill 26 - May 24
League of Women Voters Education Fund,03/27/2020 to 04/25/2020,C4,04/23/20,League of Women Voters Education Fund,,,,"1730 M St. NW, Suite 1000",Washington DC,DC,20036,,All Other Expenditures,250.0,Candidate research and outreach for Primary 2020 election.,Primary,vote411.org,Candidate research and outreach for Primary 2020 election between March 26 - April 25,Online voters' guide/candidate/questions/answers
League of Women Voters Education Fund,01/01/2020 to 03/26/2020,C4,03/26/20,League of Women Voters Education Fund,,,,1730 M St NW Suite 1000,Washington DC,DC,20036,,All Other Expenditures,200.0,Candidate research and outreach for Primary 2020 election,Primary,Vote411.org,Candidate research and outreach between January 1 - March 25,Online voters’ guide/candidate questions/answers
Loose Caboose Casino of Helena,12/06/2019 to 12/31/2019,C4,12/06/19,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,500.0,To Support Conservative Candidates and Causes,Primary,,,
MHA IC to support MHAPAC,11/12/2019 to 01/03/2020,C4,11/12/19,MHAPAC,,,,2625 Winne Ave.,Helena,MT,59601,,All Other Expenditures,2500.0,Contribution to PAC,Primary,,,
MTCARES (Montana Community Affordable Renewable Energy Saves),05/26/2020 to 06/25/2020,C6,06/18/20,Billings Times,,,,2919 Montana Ave,Billings,MT,59101,,All Other Expenditures,2393.0,Printing of mailing ,General,Billings Times mailer,"10,806 mailings including  envelopes, return envelopes and 3 pieces of paper and a stamp for each mailing.",Instructions on how to utilize a declaration to verify signatures on I-187 & the declaration form approved by the Secretary of State to replace a notarization form.
MTCARES (Montana Community Affordable Renewable Energy Saves),05/26/2020 to 06/25/2020,C6,06/09/20,MTS,,,,"850 S. 27th Ave, Billings, ",Billings,MT,50103,,All Other Expenditures,2500.0,"finish addressing, stuffing and sealing envelopes",General,"bulk mail, we have not been invoiced yet for this. the cost here is just an estimate.",~10800 mail pieces,Instructions on how to submit a persons own signature safely during the pandemic along with envelopes and petition and declaration forms to accomplish that.
MTCARES (Montana Community Affordable Renewable Energy Saves),04/26/2020 to 05/25/2020,C6,05/25/20,ActBlue,,,,366 Summer St,Summerville,MD,02114,,All Other Expenditures,36.79,fee for accepting online donations for I-187,General,online donations,$36.79 fee for 9 donations totaling $931,donations for I-187
MTCARES (Montana Community Affordable Renewable Energy Saves),01/01/2020 to 03/25/2020,C6,01/15/20,Stick by Stick LLC,,,,311 Parkhill Dr.,Billings,MT,59101,,All Other Expenditures,300.0,Development of MTCARES web site,General,website hosted by godddy (but this hosting is paid for in other expense),stick by stick developed 9 web pages.,developed pages on website on how to sign or collect signatures on I-187 and explanation of the initiative and drafts of donation and volunteer pages
Marijuana Policy Project,05/25/2020 to 06/25/2020,C4,05/30/20,Marijuana Policy Project,,,,2370 Champlain St NW,Washington DC,DC,20009,,All Other Expenditures,6517.71,"Staff time, including office overhead and fringe benefits, for campaign strategy and management consulting",General,,,
Marijuana Policy Project,04/26/2020 to 05/24/2020,C4,04/30/20,Marijuana Policy Project,,,,2370 Champlain St NW,Washington DC,DC,20009,,All Other Expenditures,4636.6,"Staff time, including office overhead and fringe benefits, for campaign strategy and management consulting",General,,,
Marijuana Policy Project,03/26/2020 to 04/25/2020,C4,04/01/20,Marijuana Policy Project,,,,2370 Champlain St NW,Washington DC,DC,20009,,All Other Expenditures,4403.48,"Staff time, including office overhead and fringe benefits, for campaign strategy and management consulting",General,,,
Marijuana Policy Project,10/01/2019 to 03/25/2020,C4,11/01/19,Marijuana Policy Project,,,,2370 Champlain St NW,Washington DC,DC,20009,,All Other Expenditures,2024.2,"Staff time, including office overhead and fringe benefits, for campaign strategy and management consulting",General,,,
Marijuana Policy Project,10/01/2019 to 03/25/2020,C4,03/01/20,Marijuana Policy Project,,,,2370 Champlain St NW,Washington DC,DC,20009,,All Other Expenditures,3470.8,"Staff time, including office overhead and fringe benefits, for campaign strategy and management consulting",General,,,
Marijuana Policy Project,10/01/2019 to 03/25/2020,C4,02/01/20,Marijuana Policy Project,,,,2370 Champlain St NW,Washington DC,DC,20009,,All Other Expenditures,4564.1,"Staff time, including office overhead and fringe benefits, for campaign strategy and management consulting",General,,,
Marijuana Policy Project,10/01/2019 to 03/25/2020,C4,12/31/19,Marijuana Policy Project,,,,2370 Champlain St NW,Washington DC,DC,20009,,All Other Expenditures,2383.57,"Staff time, including office overhead and fringe benefits, for campaign strategy and management consulting",General,,,
Marijuana Policy Project,10/01/2019 to 03/25/2020,C4,12/01/19,Marijuana Policy Project,,,,2370 Champlain St NW,Washington DC,DC,20009,,All Other Expenditures,1745.17,"Staff time, including office overhead and fringe benefits, for campaign strategy and management consulting",General,,,
MedQuest Pharmacy,02/28/2020 to 02/28/2020,C4,02/26/20,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,12000.0,Contribution to Montana First Action,Primary,,,
Montana Beer & Wine Distributors Association,01/01/2019 to 12/31/2019,C4,03/04/19,Montana Democratic Party,,,,P. O. Box 802,Helena,MT,59624,,All Other Expenditures,1000.0,Metcalf Mansfield Dinner Sponsor,General,,,
Montana Beer & Wine Distributors Association,01/01/2019 to 12/31/2019,C4,03/28/19,MRLCC,,,,P.O. Box 6656,Helena,MT,59604,,All Other Expenditures,1000.0,President's and Speaker's Reception Sponsor,General,,,
Montana Human Rights Network,05/26/2020 to 06/25/2020,C4,06/25/20,"CARROLL RIVAS, RACHEL",,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,228.06,IN-KIND STAFF TIME OPPOSING LR130,General,,,"CAMPAIGN PLANNING MEETING, FUNDRAISING RESEARCH, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,05/26/2020 to 06/25/2020,C4,06/25/20,"MCADAM, TRAVIS",,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,71.22,IN-KIND STAFF TIME OPPOSING LR130,General,,,"CAMPAIGN PLANNING MEETING, FUNDRAISING RESEARCH, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,05/26/2020 to 06/25/2020,C4,06/25/20,MONTANA HUMAN RIGHTS NETWORK,,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,4.11,IN-KIND OVERHEAD EXPENSES OPPOSING LR130,General,,,"CAMPAIGN PLANNING MEETING, FUNDRAISING RESEARCH, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,05/26/2020 to 06/25/2020,C4,06/25/20,MONTANA HUMAN RIGHTS NETWORK,,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,20.4,IN-KIND OPERATING EXPENSES OPPOSING LR130,General,,,"CAMPAIGN PLANNING MEETING, FUNDRAISING RESEARCH, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,04/26/2020 to 05/25/2020,C4,05/25/20,"Carroll Rivas, Rachel",,,,PO Box 1509,Helena,MT,59624,,All Other Expenditures,63.35,IN-KIND STAFF TIME OPPOSING LR130,General,,,"ATTENDING CAMPAIGN PLANNING MEETINGS, FUNDRAISING RESEARCH, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,04/26/2020 to 05/25/2020,C4,05/25/20,"McAdam, Travis",,,,PO Box 1509,Helena,MT,59624,,All Other Expenditures,35.61,IN-KIND STAFF TIME OPPOSING LR130,General,,,"ATTENDING CAMPAIGN PLANNING MEETINGS, FUNDRAISING RESEARCH, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,04/26/2020 to 05/25/2020,C4,05/25/20,MONTANA HUMAN RIGHTS NETWORK,,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,0.37,IN-KIND OVERHEAD EXPENSES OPPOSING LR130,General,,,"ATTENDING CAMPAIGN PLANNING MEETINGS, FUNDRAISING RESEARCH, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,04/26/2020 to 05/25/2020,C4,05/25/20,MONTANA HUMAN RIGHTS NETWORK,,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,6.87,IN-KIND OPERATING EXPENSES OPPOSING LR130,General,,,"ATTENDING CAMPAIGN PLANNING MEETINGS, FUNDRAISING RESEARCH, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,03/26/2020 to 04/25/2020,C4,04/25/20,"CARROLL RIVAS, RACHEL",,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,152.04,IN-KIND STAFF TIME OPPOSING LR130,General,,,"ATTENDING CAMPAIGN PLANNING MEETINGS, FUNDRAISING RESEARCH,RESPONDING TO AG BALLOT STATEMENT, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,03/26/2020 to 04/25/2020,C4,04/25/20,"MCADAM, TRAVIS",,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,166.18,IN-KIND STAFF TIME OPPOSING LR130,General,,,"ATTENDING CAMPAIGN PLANNING MEETINGS, FUNDRAISING RESEARCH,RESPONDING TO AG BALLOT STATEMENT, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,03/26/2020 to 04/25/2020,C4,04/25/20,MONTANA HUMAN RIGHTS NETWORK,,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,22.64,IN-KIND OPERATING EXPENSE OPPOSING LR130,General,,,"ATTENDING CAMPAIGN PLANNING MEETINGS, FUNDRAISING RESEARCH,RESPONDING TO AG BALLOT STATEMENT, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,03/26/2020 to 04/25/2020,C4,04/25/20,MONTANA HUMAN RIGHTS NETWORK,,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,3.31,IN-KIND OVERHEAD EXPENSE OPPOSING LR130,General,,,"ATTENDING CAMPAIGN PLANNING MEETINGS, FUNDRAISING RESEARCH,RESPONDING TO AG BALLOT STATEMENT, ISSUE RESEARCH, CONVERSATION WITH STAKEHOLDERS FOR RESEARCH"
Montana Human Rights Network,07/30/2019 to 03/25/2020,C4,03/25/20,"CARROLL RIVAS, RACHEL",,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,1133.97,IN-KIND STAFF TIME OPPOSING LR130,General,,,"Attending campaign planning meetings, fundraising research, responding to AG ballot statement, issue research, conversation with stakeholders for research"
Montana Human Rights Network,07/30/2019 to 03/25/2020,C4,09/13/19,GODADDY.COM,,,,14455 N HAYDEN RD SUITE 100,SCOTTSDALE,AZ,85260,,All Other Expenditures,22.34,WEBSITE NOLR130.COM & NOLR130.ORG OPPOSING LR130,General,,,
Montana Human Rights Network,07/30/2019 to 03/25/2020,C4,03/25/20,"MCADAM, TRAVIS",,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,1115.78,IN-KIND STAFF TIME OPPOSING LR130,General,,,"Attending campaign planning meetings, fundraising research, responding to AG ballot statement, issue research, conversation with stakeholders for research"
Montana Human Rights Network,07/30/2019 to 03/25/2020,C4,03/25/20,MONTANA HUMAN RIGHTS NETWORK,,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,167.02,IN-KIND OVERHEAD EXPENSE OPPOSING LR130,General,,,"Attending campaign planning meetings, fundraising research, responding to AG ballot statement, issue research, conversation with stakeholders for research"
Montana Human Rights Network,07/30/2019 to 03/25/2020,C4,03/25/20,MONTANA HUMAN RIGHTS NETWORK,,,,PO BOX 1509,HELENA,MT,59624,,All Other Expenditures,159.43,IN-KIND OPERATING EXPENSE OPPOSING LR130,General,,,"Attending campaign planning meetings, fundraising research, responding to AG ballot statement, issue research, conversation with stakeholders for research"
"Montana Interactive, LLC",08/31/2019 to 09/11/2019,C4,09/09/19,Democratic Legislative Campaign Committee,,,,303 N. Ewing Street,Helena,MT,59061,,All Other Expenditures,2500.0,Support MT Democratic Legislative Campaign Committee,Primary,,,
"Montana Interactive, LLC",08/27/2019 to 08/30/2019,C4,08/27/19,Montana Republican Legislative Campaign Committee,,,,PO Box 6656,Helena,MT,59604,,All Other Expenditures,2500.0,To Support the MRLCC,Primary,,,
Montana International Supply Co,04/06/2020 to 04/14/2020,C4,04/06/20,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,1000.0,Contribution,General,,,
Montana Land Title Association,09/06/2019 to 09/10/2019,C4,09/06/19,MRLCC,,,,P.O. Box 6656,Helena,MT,59604,,All Other Expenditures,500.0,Sponsor President & Speakers Golf Event,General,,,
Montana League of Cities and Towns,07/31/2019 to 03/25/2020,C4,03/25/20,"Burkhart, Amanda",,,,700 West Custer,Helena,MT,59620,,All Other Expenditures,374.88,IN-KIND STAFF TIME OPPOSING LR130,General,,,"Attending campaign planning meetings, fundraising research, responding to AG ballot statement, issue research, conversation with stakeholders for research."
Montana League of Cities and Towns,07/31/2019 to 03/25/2020,C4,03/25/20,"Burton, Tim",,,,700 W Custer,Helena,MT,59620,,All Other Expenditures,1473.91,IN-KIND STAFF TIME OPPOSING LR130,General,,,"Attending campaign planning meetings, fundraising research, responding to AG ballot statement, issue research, conversation with stakeholders for research."
Montana League of Cities and Towns,07/31/2019 to 03/25/2020,C4,03/25/20,"Lynch, Kelly",,,,700 West Custer,Helena,MT,59620,,All Other Expenditures,3321.61,IN-KIND STAFF TIME OPPOSING LR130,General,,,"Attending campaign planning meetings, fundraising research, responding to AG ballot statement, issue and legal research, conversation with stakeholders for research."
Montana League of Cities and Towns,07/31/2019 to 03/25/2020,C4,03/25/20,Montana League of Cities and Towns,,,,700 West Custer,Helena,MT,59620,,All Other Expenditures,237.03,Office Overhead,General,,,
NO on LR130,02/28/2020 to 03/25/2020,C6,02/26/20,Harland Checks,,,,15955 La Cantera Parkway,San Antonio,TX,78256,,All Other Expenditures,28.25,Checks & Deposit Slips,General,,,
National Association of REALTORS Issues Committee,05/18/2020 to 05/30/2020,C4,05/20/20,FOR OUR ROADS,,,,1776 RIVER ROAD,MISSOULA,MT,59801,,All Other Expenditures,20000.0,CONTRIBUTION TO FOR OUR ROADS BALLOT ISSUE COMMITTEE.,Primary,,,
National Education Association (General Fund),05/26/2020 to 06/25/2020,C4,06/16/20,Montana Federation of Public Employees,,,,1232 E. Sixth Ave.,Helena,MT,59601,,All Other Expenditures,100000.0,Contribution for ballot issue work,General,,,
National Education Association (General Fund),01/29/2020 to 03/25/2020,C4,01/27/20,Montana Federation of Public Employees,,,,1232 E. Sixth Ave.,Helena,MT,59601,,All Other Expenditures,25000.0,Contribution for ballot issue work,Primary,,,
Nelson Farms,06/12/2019 to 07/16/2019,C4,06/12/19,Montana United,,,,PO Box 5212,Helena,MT,59604,,All Other Expenditures,1000.0,To Support Conservative Candidates and Causes,Primary,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/05/20,America Votes,,,,"1155 Connecticut Ave, NW Suite 600",Washington DC,DC,20036,,All Other Expenditures,10000.0,Data Services,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/23/20,Bitterroot Law,,,,"PO Box 1312, 107 South 2nd St.",Hamilton,MT,59840,,All Other Expenditures,3838.0,Campaign finance compliance consulting,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/20/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,10000.0,Campaign strategy and management consulting for June,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/20/20,Bolder Action Consulting,,,,21 North Last Chance Gulch Unit 5A,Helena,MT,59601,,All Other Expenditures,3219.34,"Reimbursements (May 11 - June 11) for mileage (2588 miles). 5/11: Bozeman, 5/15: Bozeman, 5/19: Bozeman/Missoula, 5/30: Bozeman, 6/3 & 6/11: Billings",General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/20/20,Fieldworks,,,,"4005 Wisconsin Ave, NW Unit 9897",Washington DC,DC,20016,,All Other Expenditures,187493.0,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,05/28/20,Fieldworks,,,,"4005 Wisconsin Ave, NW Unit 9897",Washington DC,DC,20016,,All Other Expenditures,217351.76,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,05/27/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/09/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,20.0,Wire transfer fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/11/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,20.0,Wire transfer fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/18/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/13/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,20.0,Wire transfer fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/20/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,20.0,Wire transfer fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,05/28/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,40.0,wire transfer fees,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/04/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/03/20,First Security Bank,,,,PO Box 910,Bozeman,MT,59771,,All Other Expenditures,10.0,Wire transfer fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/04/20,"Gallik, Bremer and Molloy PC",,,,PO Box 70,Bozeman,MT,59771,,All Other Expenditures,12933.64,"Legal research, analysis, and advice on issues regarding CI-118 and I-190",General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/02/20,Internal Revenue Service,,,,1111 Constitution Avenue Northwest,Washington DC,DC,20224,,All Other Expenditures,50.0,501(c)4 registration fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/10/20,"Lewis, David M",,,,M 5871 Collins Dr,Helena,MT,59601,,All Other Expenditures,1350.0,Campaign strategy and fiscal policy consulting for May	,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/04/20,Mailchimp,,,,675 Ponce de Leon Ave NE Suite 5000,Atlanta,GA,30308,,All Other Expenditures,49.99,Email database service fee,General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/11/20,MontPIRG,,,,141 Corbin Hall,Missoula,MT,59812,,All Other Expenditures,32500.0,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,05/28/20,MontPIRG,,,,141 Corbin Hall,Missoula,MT,59812,,All Other Expenditures,27685.0,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/05/20,MontPIRG,,,,141 Corbin Hall,Missoula,MT,59812,,All Other Expenditures,33795.0,Petition circulation and signature gathering (staff and overhead),General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/13/20,Moxie Media Inc,,,,PO Box 30084,Seattle,WA,98113,,All Other Expenditures,8252.86,"Production of 7,500 packets and outgoing postage for 4,034 pieces which included petition sheets",General,,,
New Approach Montana,05/25/2020 to 06/25/2020,C6,06/03/20,Squarespace,,,,"225 Varick Street, 12th Floor",New York,NY,10014,,All Other Expenditures,24.0,Gsuite email account services,General,,,
