committee,cers_id,reports,type,amended_date,last_report,city,state,officer_1,officer_2,positions,2020_expenditures,num_2020_expenditures,2020_contributions,num_2020_contributions,cash_on_hand
"Montana Cannabis Industry Association, Inc.",5459,9,Incidental,11/30/16,NA,Billings,MT,"Haney, James",,Support: I-182,0.0,0,0.0,0,-206979.0
Special Legistative Fund Montana State AFL-CIO fka_Montana State AFL-CIO Special Legislative Fund,422,16,Independent,03/26/20,NA,Helena,MT,"Ekblad, Al","Nisbet, Lorri L",,0.0,0,0.0,0,1030.0
"Trust for Public Land Action Fund, The",7185,3,Incidental,06/27/18,NA,Boston,MA,"Weinstein, David",,,0.0,0,0.0,0,-31122.71
Montana Wildlife Federation,3445,5,Incidental,09/24/17,NA,Helena,MT,"McLaughlin, Anne",,Oppose: LR 126,0.0,0,0.0,0,-26074.0
"American Federation of Teachers, AFL-CIO Committee on Political Education (COPE)",6144,1,Incidental,12/26/17,NA,Washington,DC,"Johnson, Lorretta",,Support: YES for East Helena Kids,0.0,0,0.0,0,-5000.0
Greater Montana IEC PAC,1092,20,Independent,04/29/20,NA,Helena,MT,"Morgan, Margaret",,"Support: Carl Glimm for SD2, Support: Mark Noland for HD 10, Support: Randy Chamberlain for HD64, Support: Derek Skees for HD11, Support: Rhonda Knudsen for HD34, Support: David Dunn HD 09",700.0,7,2200.0,11,3268.9
Montanans for Conservation,8319,1,Minor Party Qualification,04/15/20,NA,Helena,MT,"Wenetta, Katie",,Support: Support conservation-minded candidates & serve as the minor party qualification committee to qualify the Green Party to hold primary elections in Montana per MCA 13-10-601(2),800.0,1,100800.0,2,0.0
Dawson County Republican Central Committee,245,24,Political Party,03/26/19,NA,Terry,MT,"Eaton, Shane L","Hedrick, Betsey","Support: Adam Rosendale for SD11, Support: Matt Rosendale for U.S. Senate, Support: Joe Reed for HD 93, Support: Lola Sheldon Galloway for HD22, Support: Michael Cooper for HD 26, Support: Randy Pinocci for PSC, Support: Chase Reynolds for SD 49",7237.6,29,5983.15,83,8399.99
Yellowstone Co Republican Central Committee,5096,23,Political Party,02/03/20,NA,Billings,MT,"Black, JoeAnn",,,62570.01,111,55833.12,147,11795.49
Stillwater County Republican Central Cmte.,334,22,Political Party,01/30/20,NA,Columbus,MT,"Strizki, Don","Nave, Brent","Support: Recruit, support and elect Republican Conservative candidates etc",25610.03,56,20655.25,139,7041.6
Edmiston & Colton Law,5741,5,Incidental,11/28/16,NA,Billings,MT,"Colton, Shane","Taylor, Mary","Support: Dirk Sandefur - Supreme Court, Other: Contributions are not earmarked for any specific candidates or ballot issues. , Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system.",0.0,0,0.0,0,-19000.0
National Education Association,6387,11,Incidental,08/28/17,NA,Washington,DC,"McPherson, Michael",,Support: LR-128,0.0,0,0.0,0,-725000.0
Montana Family Foundation,7145,11,Incidental,11/27/18,NA,Laurel,MT,"Barber, Shainne","Laszloffy, Jeff",Support: I-183,0.0,0,0.0,0,-15958.1
Missoula Organization of Realtors,8478,4,Incidental,06/05/20,NA,Missoula,MT,"Kim , Kaufman","Easton, Dwight",Support: Economic Development,0.0,0,0.0,0,-44413.19
Citizens for a Safer Community,5841,1,Ballot Issue,09/23/16,NA,Helena,MT,"Jasmin, Ed","Foster, Rodger",Support: Lewis and Clark County Detention Center Bond and Levy,0.0,0,0.0,0,0.0
RAI Services Company,7414,6,Incidental,11/26/18,NA,Winston-Salem,NC,"Hogan, John",,Oppose: I-185,0.0,0,0.0,0,-295831.59
Butte Silver Bow County Democratic Central Cmte.,330,1,Political Party,03/30/16,NA,Butte,MT,"Harvey, Derek L",,Support: Support Democrat Candidates,0.0,0,0.0,0,3004.69
Montana Health Cooperative,8329,1,Incidental,03/25/20,NA,Helena,MT,"Slonaker, David",,Support: Montana Democratic Party,0.0,0,500.0,1,500.0
Constitution Party of Montana,6360,5,Independent,03/30/20,NA,Bozeman,MT,"Orback, Travis L",,Other: Please see COPP Hard Copy C-2 for full Purpose of Committee entry,0.0,0,0.0,0,578.95
LCV Political Engagement Fund,5796,5,Incidental,09/30/16,NA,Washington DC,DC,"Collins, Patrick",,"Support: pro-environment political action committees in states across the country, including Montana., Support: LCV Political Engagement Fund is an out-of-state organization that provides incidental support including monetary contributions to non-candidate",0.0,0,0.0,0,0.0
Community Medical Center Incidental Committee,7855,1,Incidental,10/31/18,NA,Helena,MT,"French, Dean",,,0.0,0,0.0,0,-51829.25
National Association of REALTORS Issues Committee,8823,1,Incidental,05/18/20,NA,CHICAGO,IL,"SILL, SAM","PIERPOINT, JOHN",Other: To make contributions and expenditures in Montana ballot issues elections. We are not supporting or opposing any particular ballot issue.,20000.0,1,20000.0,1,0.0
Montana Audubon,7317,9,Incidental,11/26/18,NA,Helena,MT,"Farmer, Ronald","Seaman, Amy E",Support: I-186,0.0,0,0.0,0,-807.98
MHA IC to Support I-185,6972,11,Incidental,04/25/18,NA,Helena,MT,"Brown, Dick","Olsen, Bob","Support: Support passage of I 185,  a measure to increase tobacco taxes and extend Medicaid coverage",0.0,0,0.0,0,-419450.95
Citizens For Public Safety,3030,2,Ballot Issue,06/04/19,NA,Missoula,MT,"Hooper, Elizabeth",,Support: Fire District Levy,0.0,0,0.0,0,0.0
Motor Transportation Pac,429,19,Independent,09/01/16,NA,Helena,MT,"Stang, Barry ""spook""",,Support: To support issues and candidates involved with the trucking business,5.0,1,-514.0,6,8356.16
LCV Political Engagement Fund,7328,10,Incidental,05/22/18,NA,Washington,DC,"Collins, Patrick",,Other: To engage in exempt function activities related to environmental issues.,0.0,0,0.0,0,-45000.0
Montana International Supply Co,8654,1,Incidental,04/14/20,NA,Billings,MT,"Desin, Joel",,Support: Support Montana First,1000.0,1,0.0,0,-1000.0
Republican State Leadership Committee-Montana PAC,1652,29,Independent,09/01/16,NA,Washington,DC,"Fisher , Tonia",,Support: Support Republican efforts in the State of Montana,180.0,18,0.0,0,217.53
Coffee PAC (TEST),8324,2,Independent,01/31/20,NA,Helena,MT,"Coffee, J",,Support: A Coffee,1050.0,2,1800.0,5,-755.0
"Yellowstone County Council on Aging, dba Adult Resource Alliance",5566,1,Incidental,06/10/16,NA,Billings,MT,"Clark, Patricia O",,Support: Yellowstone County Mill Levy CR16-19,0.0,0,0.0,0,-15000.0
BC Boilers LLC,6867,1,Incidental,12/26/17,NA,Helena,MT,"Cordingley, Thomas",,Support: YES for Helena's Future,0.0,0,0.0,0,-500.0
"Western Justice Associates, PLLC",5027,13,Incidental,11/28/16,NA,Bozeman,MT,"Ruggiero, Jory C","Taylor, Mary C","Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system., Support: Dirk Sandefur - Supreme Court, Other: Contributions are not earmarked for any specific candidates or ballot issues.",0.0,0,0.0,0,-11400.0
SEIU 775,8600,4,Incidental,06/30/20,NA,Seattle,WA,"Helt, Jacquie",,"Other: To support ballot initiatives and candidates that help working people.  , Support: I-190, support, Petition has been approved for signature gathering , Support: CI-118, support, Petition has been approved for signature gathering ",496083.6,11,0.0,0,-496083.6
Citizens for School Bond issue ,8359,2,Ballot Issue,03/10/20,NA,Townsend,MT,"Gillespie, Judy R.",,Support: Support school bond issue for Broadwater County,1294.0,3,1350.0,10,56.0
MEA-MFT,5046,14,Incidental,12/14/16,NA,Helena,MT,"Burke, Erik",,"Support: Steve Bullock - Governor, Support: Mike McGrath, Oppose: I-181, Support: Jesse Laslovich – Auditor race, Support: Jim Shea - Supreme Court, Support: Melissa Romano State Superintendent, Support: Tim Fox - Attorney General, Support: Monica Lindeen Secretary Of State, Support: Dirk Sandefur - Supreme Court",0.0,0,0.0,0,-128503.41
Trap Free Montana Public Lands,3952,1,Ballot Issue,09/22/15,NA,Hamilton,MT,"Bugreef, Shura","York, KC",Support: TBD,0.0,0,0.0,0,0.0
Last Chance Co-Op McDonald's,6849,1,Incidental,11/30/17,NA,Helena,MT,"Gauthier, Terry",,Support: YES for Helena's Future,0.0,0,0.0,0,-250.0
"Spearstone Management, LLC",8508,1,Incidental,03/28/20,NA,Lindon,UT,"Hartland, Hayden",,Support: To Support Montana First Action,1000.0,1,0.0,0,-1000.0
Montanans For Limited Government,3071,30,Independent,08/24/16,NA,Lolo,MT,"Kay, Kathryn",,"Support: To promote education about the benefits of limited government, support candidates who favor limited government solutions, and oppose candidates who support big government solutions.",13461.05,34,32050.0,19,14755.81
Everytown for Gun Safety Action Fund,7493,4,Incidental,11/26/18,NA,New York,NY,"Squires, Rebecca L",,,0.0,0,0.0,0,-10411.9
Montana Society Of Certified Public Accountants Pac,420,8,Independent,10/25/16,NA,Helena,MT,"Egan, Jane",,"Support: Corey Stapleton for Secretary of State, Support: Elsie Arntzen for State Superintendent",0.0,0,0.0,0,330.0
Freedom Vapes llc,7509,6,Incidental,11/13/18,NA,Bozeman,MT,"Marshall, Ron L",,Oppose: I-185: Raise tobacco taxes to fund health care programs,0.0,0,0.0,0,-2010.38
Montana Women Vote ,5406,2,Incidental,06/27/16,NA,Missoula,MT,"Howell, Sarah",,Support: Yes for YES (Yellowstone Elder Services),0.0,0,0.0,0,-834.2
MHA IC to support MHAPAC,8251,1,Incidental,01/06/20,NA,Helena,MT,"Simonson, Vickey","Luther, Jessie",Support: contribution to PAC,2500.0,1,0.0,0,-2500.0
North Valley Hospital Incidental Committee,6990,1,Incidental,05/01/18,NA,Whitefish,MT,"Pearce, Charles T",,Support: contribution made to support ballot initiative to increase tobacco taxes to support health care programs,0.0,0,0.0,0,-26677.0
Montanans for Truth in Public Schools,6091,5,Independent,12/01/16,NA,Bozeman,MT,"Cohea, Adrian",,"Oppose: Educate Voters Regarding Proper Use of tax Payer Dollars in Public Schools, Oppose: Greg Gianforte",0.0,0,0.0,0,0.0
ACLU of Montana,6377,4,Incidental,07/30/18,NA,Helena,MT,"Rossi, SK",,Oppose: I-183,0.0,0,0.0,0,-14465.99
Helena Republican Womens Club,270,5,Political Party,09/30/16,NA,Helena,MT,"Vaughey, Linda L.",,Support: Support Republican Candidates,0.0,0,0.0,0,270.73
Citizens for Lewistown,6190,2,Independent,12/28/16,NA,Lewistown,MT,"Frieze, Mary J","Loomis, Clinton C","Support: Official Ballot on the Alternative Form of Local Government, Support: Maintain current form of government",0.0,0,0.0,0,0.0
We Are Real Republicans PAC,5086,9,Independent,02/07/18,NA,Helena,MT,"Holland, Bridget",,,0.0,0,0.0,0,66.03
PCH Incidental Committee,7290,1,Incidental,05/16/18,NA,Malta,MT,"VanWichen, Ward C",,Support: I-185,0.0,0,0.0,0,-1000.0
Eye Pac Aka Montana Eye Pac  ,415,20,Independent,03/29/20,NA,Billings,MT,"Gilbertson, Nanette","Priddy, James T.",Support: Lobby for and support issues and candidates affecting Ophthalmology,0.0,0,14.03,2,10509.41
Ravalli County Democratic Central Cmte,4640,19,Political Party,09/21/19,NA,Hamilton,MT,"Neal, Nancy",,"Support: Margaret Gorski, Support: James Olsen, Support: David Smith, Support: Gail Gutsche for PSC, 2016, Support: A Jo Young, Support: Monica Lindeen for Sec of State, Support: Nancy Neal for HD 86",6712.72,55,4133.63,71,3534.44
SEIU 775 MT Quality Care Committee,1916,32,Independent,04/23/18,NA,Helena,MT,"Helt, Jacquie",,Support: Healthy Montana I-185,350718.77,8,528565.1,10,52302.57
Montana Gas & Oil Pac,408,24,Independent,10/01/19,NA,Helena,MT,"Olson, Alan","Gardner, Bobbie","Support: Terry Gauthier for Senate, Support: Duane Ankney for Senate, Support: Jane Gillette for House, Support: Jeff Welborn for Senate, Support: Ryan Osmundson for Senate, Support: Chet Billi for House, Support: Dan Bartel for House, Support: Cascade County Republican Central Committee, Support: Eric Moore for House, Support: Steve Daines for US Senate, Support: Alan Redfield for House, Support: Doug Kary for Senate, Support: Mark Blasdel for Senate, Support: Carl Glimm for House, Support: Mary Caferro for Senate, Support: Frank Garner for House, Support: Colin Nygaard for House, Support: Chase Reynolds for Senate, Support: Governor Steve Bullock, Support: Brian Hoven for Senate, Support: Matt Rosendale for State Auditor, Support: Tom Jacobson for Senate, Support: Tim Fox for AG, Support: Randy Brodehl for House, Support: Kristen Juras for Supreme Court, Support: Montana Republican Party, Support: Mike Lang for Senate, Support: Casey Knudsen for House, Support: Ed Buttrey for House, Support: MDLCC, Support: Bill Mercer for Legislature, Support: James O'Hara for House, Support: Scott Sales for Secretary of State , Support: David Moore for House, Support: Mary Caferro for House, Support: MRLCC, Support: Duane Ankney for House, Support: Edith McClafferty for Senate, Support: Terry Gauthier for Senate, Support: Benjamin Hunter for House, Support: Kerri Seekins-Crowe for House, Support: John Esp for Senate, Other: MRLCC - President's and Speaker's Reception, Support: Ryan Zinke for Congress, Other: Lincoln Reagan Day Dinner - MT GOP, Support: Stephanie Hess for House, Support: Brad Johnson for PSC, Support: Kenneth Holmlund for House, Support: Tom Richmond for Senate, Support: Bill Mercer for Legislature, Support: Elsie Arntzen for State Superintendent, Support: Jimmy Patelis for House, Support: Duane Ankney for Senate, Support: Matt Rosendale for U.S. Senate, Support: Steve Lavin for House, Support: Daniel Zolnikov for House, Support: Jedediah Hinkle for Senate, Support: Casey Schreiner for House , Support: Greg Gianforte for Governor, Support: Matt Rosendale for State Auditor, Support: Robert Sivertson for House, Support: Fred Thomas for Senate, Support: Greg Gianforte for Congress, Support: Bob Lake for PSC, Support: Matthew Regier for House, Support: Jon Bennion for Attorney General, Support: Russell Tempel for Senate, Support: Campaign financial support for candidates for state and county elected offices, through direct contributions or through contributions to party political committees., Support: Scott Staffanson for House, Support: Corey Stapleton for Secretary of State, Support: Steve Fitzpatrick for Senate, Support: Llew Jones for House, Support: Butch Gillespie for Senate, Support: Kristen Juras for Supreme Court, Support: Becky Beard for House, Support: Walt Sales for House, Support: Fred Anderson for House, Support: Ross Fitzgerald for Houise, Support: Denley Loge for House, Support: Tom McGillvray for Senate",4060.0,12,8170.0,10,9071.94
Project Safe Schools,7559,2,Ballot Issue,10/29/18,NA,Butte,MT,"McCLafferty, Joseph J.",,Support: Butte Elementary School Mill,0.0,0,0.0,0,4320.0
MTCARES (Montana Community Affordable Renewable Energy Saves),6918,9,Ballot Issue,07/03/18,NA,Dillon,MT,"Mosolf, MIke",,Support: I-184,0.0,0,0.0,0,0.0
Gun Owners' Political Action Committee (GO-PAC),5929,3,Independent,11/23/16,NA,Missoula,MT,"Marbut, Gary",,,0.0,0,0.0,0,1526.31
Montana Beer & Wine Distributors Association,8309,1,Incidental,01/16/20,NA,Helena,MT,"McGuire, Sherri",,Monitor: Issues relating to beer and wine regulation,2000.0,2,0.0,0,-2000.0
National Education Association (General Fund),8321,4,Incidental,01/29/20,NA,Washington,DC,"Michael, McPherson",,Support: MT Federation of Public Employees Ballot,125000.0,2,125000.0,2,0.0
Treasure County Republican Central Cmte.,344,1,Political Party,06/03/05,NA,Sanders,MT,"Miller, Bob",,,0.0,0,0.0,0,0.0
Local 30 Pac Fund,2515,3,Independent,09/27/16,NA,Billings,MT,"Schultz, Christopher J","Cellmer, Maynard H",Other: Support issues favorable to plumbers and pipefitters Local Union #30,0.0,0,0.0,0,5607.73
MCA Incidental Committee,7538,1,Incidental,10/01/18,NA,Helena,MT,"Seilstad, Maryann","Thompson, Brian",Oppose: Incidental committee opposing I-186,0.0,0,0.0,0,-10250.0
Tri-County Implement Inc,7017,1,Incidental,04/04/18,NA,Sidney,MT,"Christensen, Tami",,,0.0,0,0.0,0,-70.0
Montana Libertarian Party,6018,10,Political Party,03/30/20,NA,Lewistown,MT,"Wendt, Francis",,,3710.81,15,2882.01,12,747.84
Advanced Care Hospital of Montana Incidental Committee,7318,1,Incidental,05/21/18,NA,Billings,MT,"Judith, Powers",,Support: I-185,0.0,0,0.0,0,-50000.0
League of Women Voters Education Fund,5813,4,Incidental,08/14/17,NA,Washington,DC,"Saunders, Henrietta T",,Other: Other - Nonpartisan online voter guide. Registering as an incidental committee pursuant to COPP-2016-AO-005.,0.0,0,0.0,0,-2862.0
Laurel Democratic Club,281,2,Political Party,08/02/16,NA,Laurel,MT,"Thompson, Keith",,"Other: To support and promote the principles, ideals and candidates of the Democratic Party.",0.0,0,0.0,0,2377.44
Everett Law,5577,8,Incidental,11/28/16,NA,Anaconda,MT,"Everett, Benard","Taylor, Mary","Support: Dirk Sandefur - Supreme Court, Other: Contributions are not earmarked for any specific candidates or ballot issues., Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system. ",0.0,0,0.0,0,-5000.0
Steel Etc. Holding Co.,7743,1,Incidental,10/26/18,NA,Great Falls,MT,"Huston, Matthew","Thompson, Brian",Oppose: I-186,0.0,0,0.0,0,-10000.0
Flathead County Democratic Central Committee,252,20,Political Party,04/23/20,NA,Kalispell,MT,"Smith, Terri V",,"Support: Recruit, support and elect Democratic Candidates, support Democratic Issues",49503.72,110,66056.82,497,22320.66
Montana Action Committee For Rural Electrification,394,27,Independent,06/28/20,NA,Great Falls,MT,"Potoczny, Lea A",,"Support: Brad Tschida- HD 97, Support: Steve Hinebauch for SD18, Support: Julie Dooling for HD 70, Support: Katie Zolnikov for HD45, Support: Christopher Pope for SD 31, Support: Keith Regier for SD 3, Support: Sharon Greef for Montana HD 88, Support: Mary Caferro HD 81, Support: Ed Buttrey for HD 21, Support: Derek Skees - HD11, Support: Theresa Manzanella for SD 44, Support: Fred Anderson for HD20, Support: Willis Curdy for HD 98, Support: Wendy McKamey HD19, Support: Joe Reed for HD 93, Support: Ross Fitzgerald for HD 17, Support: Jason D Small SD 21, Support: Amy Regier for HD6, Support: Neil Duram for HD 2, Support: Terry Gauthier for SD 40, Support: Rhonda Knudsen for HD34, Support: Tom Welch HD72, Support: Kathy Kelker HD 47, Support: Geraldine Custer for HD39, Support: Denise Hayman for HD 66, Support: Carl Glimm for SD 2, Support: Casey Knudsen - HD33, Support: Bob Brown for SD 7, Support: Jeremy Trebas - HD26, Support: Mark Noland for HD 10, Support: To promote the interests of the electric cooperatives in rural Montana, Support: Dan Salomon for SD 47, Support: Frank Garner HD 07, Support: Sue Vinton HD56, Support: Josh Kassmier HD 27, Support: Kenneth Holmlund - HD38, Support: Frank Smith for HD31, Support: Marty Malone for HD59, Support: Mike Lang for SD 17, Support: Barry Usher - HD40, Support: Laurie Bishop for HD 60, Support: Vince Ricci for HD 55, Support: Steve Fitzpatrick SD 10",36215.53,66,45156.69,246,134244.35
Great Schools Billings,6327,2,Ballot Issue,03/19/19,NA,Billings,MT,"Driscoll, Robyn",,Support: Billings Public Schools Mill Levy,0.0,0,0.0,0,12072.18
"Montana Resources, LLP",7305,11,Incidental,03/08/19,NA,Butte,MT,"Thompson, Mark",,Oppose: Initiative 186,0.0,0,0.0,0,-1155100.47
Montana Independent Bankers Pac (MIB- PAC),410,31,Independent,03/29/20,NA,Helena,MT,"Brown, James E",,"Support: Kerri Seekins-Crowe for House, Support: ken walsh for legislature , Support: Tom Welch  for house, Support: james brown for montana PSC #3, Support: kirk bushman for psc",4040.0,12,3729.85,27,8334.05
Yes! for Flathead Farms and Water,6359,10,Ballot Issue,01/25/18,NA,Kalispell,MT,"Carlson, Marcus",,"Support: Flathead County Initiative No. 17-01, Support: To place Initiative No. 17-01 on the election ballot to enact resolution No. 1594C to add property to the Egan Slough Zoning District in Flathead County",0.0,0,0.0,0,369.92
Sandrock Enterprises Incorporated,8168,1,Incidental,12/29/19,NA,Helena,MT,"Wenetta, Katie",,Support: To Support Conservative Candidates and Causes,500.0,1,0.0,0,-500.0
Montanans for Effective Government,8795,2,Independent,05/14/20,NA,Bozeman,MT,"Stonecipher, Tom W","Phillips, Lars",Other: Support Democratic candidates for state and county offices. ,45.78,2,1700.0,4,1654.22
Planned Parenthood Advocates of Montana PAC,5699,6,Independent,06/21/18,NA,Billings,MT,"Ranta, Katie","Pillai, Rajeev","Support: Jessica Karjala - HD 48, Oppose: Adam Pertz - HD 96, Oppose: Oppose anti-women's health candidates, Support: Dirk Sandefur for Supreme Court Justice, Support: Steve Bullock for Governor, Oppose: Greg Gianforte for Governor, Oppose: Dale Mortenson - HD 44, Oppose: Mike Hopkins - HD 92, Oppose: Kristen Juras for Supreme  Court Justice, Support: Shoots Veis - HD 51, Support: Andrew Person - HD 96, Oppose: Robert Saunders -HD 48, Support: Chris Goodridge - HD 52, Oppose: Adam Rosendale - HD 51, Support: Kari Boiter - HD 44, Support: Support pro-women's health candidates, Support: Addrien Marx - HD 92, Oppose: Jimmy Patelis  - HD 52",0.0,0,0.0,0,74663.03
Hill County Republican Central Cmte.,273,1,Political Party,06/27/16,NA,Havre,MT,"Salemo, Barbara","Rader, Gail",,0.0,0,0.0,0,10154.72
Messina Group,5558,1,Incidental,06/06/16,NA,Washington DC 2005,DC,"Darcy , Waldman",,Support: I-181,0.0,0,0.0,0,-5000.0
Forward Montana,5649,5,Incidental,08/17/17,NA,Missoula,MT,"Huff-Doria, Rachel","Kiah, Abbey","Other: Annual Voter Guide, Monitor: Supreme Court Justices",0.0,0,0.0,0,-4451.98
North Fund,8348,4,Incidental,03/02/20,NA,Washington,DC,"Uribe, Cristina",,"Support: CI-118: establish the legal age for purchasing, consuming, or possessing marijuana.",1249095.0,10,0.0,0,-1249095.0
Friends of Powell County Weed Board,6199,1,Ballot Issue,10/27/16,NA,Garrison,MT,"Perkins, Scott ",,,0.0,0,0.0,0,370.0
Hecla Mining Company,7296,11,Incidental,03/04/19,NA,Libby,MT,"Price, Janine",,Oppose: I-186,0.0,0,0.0,0,-1053910.08
Montana Rural Voters Action Fund,7121,7,Independent,09/09/19,NA,Billings,MT,"Gulick, Ed","Berg, Paula","Support: Tom Jacobson, Support: Bryce Bennett, Oppose: John Esp, Support: Shane Morigeau, Support: Zac Perry, Support: Amelia Marquez, Support: Mary Ann Dunwell, Support: Nate McConnell, Support: Pat Flowers, Support: Betsy Scanlin, Oppose: John Esp, Support: Darryl Wilson, Support: Marilyn Ryan, Support: JP Pomnichowski, Support: Darryl Wilson, Support: Anna Drew, Oppose: Adam Rosendale, Support: Leesha Ford, Oppose: Tom McGillvray, Support: Jade Bahr, Support: Connie Keogh, Support: Laurie Bishop, Support: Emma Kerr-Carpenter, Support: Dan Vermillion, Support: Paul Tuss, Support: Tom Woods, Support: Laura Dever, Support: Kim Abbott, Support: Moffie Funk, Oppose: Adam Rosendale, Support: Jessica Karjala, Support: Mary McNally, Support: Paul Tuss, Oppose: Tom McGillvray, Support: Bryher Herak, Support: Tom Winter, Support: Diane Sands, Support: Clementine Lindley",0.0,0,0.0,0,2559.19
NORTHERN ROCKIES MEDICAL CENTER INCIDENTAL COMMITTEE,7468,7,Incidental,11/20/18,NA,CUT BANK,MT,"BERKRAM, TREASURE L",,Support: contribution made to ballot initiative to increase tobacco taxes to help fund certain health care programs,0.0,0,0.0,0,-25000.0
Forward Montana,6384,23,Incidental,12/09/19,NA,Missoula,MT,"Matt, Kelly","Warner, Annalese C",Other: Annual Voter Guide,29290.08,29,6852.13,3,-28284.02
"Justice Committee of McGarvey, Heberling, Sullivan & Lacey, P.C.",5820,4,Incidental,11/22/16,NA,Kalispell,MT,"McGarvey, Allan M",,"Other: Dedicated to promote greater justice, access to justice for underprivileged, equal protection of laws, impartiality, jury trial system, public discourse, civil rights, environment., Support: Mike McGrath, Support: Dirk Sandefur - Supreme Court, Support: Jim Shea - Supreme Court",0.0,0,0.0,0,-8912.66
Test Independent for Cash in Bank and Total to Date,7034,3,Independent,04/10/18,NA,Test,MT,"Test, Test",,,0.0,0,0.0,0,8980.0
Town of West Yellowstone Incidental Committee,8051,3,Incidental,11/26/19,NA,West Yellowstone,MT,"Roos, Elizabeth","Luther, Jessie",Other: Educating about the impacts of the 3% resort tax extension and 1% resort tax increase,15091.85,6,0.0,0,-15091.85
Greater Yellowstone Coalition,7272,3,Incidental,06/22/18,NA,Bozeman,MT,"Byrd, Caroline","Henley, Jeana",Support: I-186,0.0,0,0.0,0,-2178.05
Montanans for Effective Wildlife Management,2962,1,Ballot Issue,03/24/16,NA,Gildford,MT,,,,0.0,0,0.0,0,0.0
Kids Education Yes,385,24,Independent,03/30/20,NA,Great Falls,MT,"Morin, Lynda",,,54324.91,54,61827.25,171,11015.46
MTA Hospitality PAC,1196,17,Independent,04/24/20,NA,Helena,MT,"Morris, Ron J","Morris, Steve","Support: Tom Jacobson for SD11, Support: Mark Sweeney for HD 77, Support: Frank Fleming for HD 51, Support: Bill Mercer for HD 46, Support: Support candidates for local and statewide office as well as political party support, Support: Doug Kary SD 22, Support: Jill Cohenour for SD 42, Support: Kimberly Dudik for HD94, Support: Jed Hinkle for Senate, Support: Brian Hoven SD 13",15027.92,52,7570.0,190,2661.72
Bozeman Public Schools,8619,1,Incidental,04/29/20,NA,Bozeman,MT,"Waterman, Mike J",,Education: Bozeman High School Transition Levy,10134.0,1,0.0,0,-10134.0
Madison County Republican Central Committee,6486,14,Political Party,06/26/20,NA,Alder,MT,"Boyd, Rhonda K",,"Support: GREG GIANFORTE FOR US HOUSE REPRESENTATIVE, Support: DAN SKATTUM, Support: Tom Burnett for HD 67, Support: Matt Rosendale for U.S. Senate, Support: Bowen Greenwood for Clerk of the Supreme Court, Support: Jedediah Hinkle for SD 32, Support: Gordon Vance for SD34, Support: Kerry White for HD 64",3535.96,9,6874.89,4,9252.33
Custer County Democratic Central Cmte.,239,20,Political Party,02/26/20,NA,Miles City,MT,"Hanson, Deborah L","Miles, Anita S",Support: Bert Pezzarossi for HD 38,420.0,6,976.64,21,2246.27
Montana Credit Union Incidental Committee,7915,1,Incidental,12/03/18,NA,Helena,MT,"Smith, Karen",,Support: Purpose of committee is donation in support of the 6-mill levy,0.0,0,0.0,0,-5000.0
Rocky Mountain Elk Foundation Inc,6117,2,Incidental,08/16/17,NA,Missoula,MT,"Parker, Lori","Allen, M. D","Oppose: Ballot I-177, Other: To Ensure the Future of Elk, Other Wildlife, Their Habitat and our Hunting Heritage",0.0,0,0.0,0,-50000.0
BNSF Railway Company,8717,2,Incidental,04/27/20,NA,Fort Worth,TX,"Lund, Roberta","Murphy, Patricia",,5000.0,1,0.0,0,-5000.0
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,5055,15,Incidental,03/30/20,NA,Washington,DC,"Kelly, Edward",,Other: Political Fund of the International Association of Fire Fighters (IAFF) used to support candidates around the country that are endorsed by the IAFF.,27429.84,50,0.0,0,-49146.32
MONCAR ,8316,1,Political Party,01/23/20,NA,Helena,MT,"Knudsen, Bruce","Jean, Debbie",,0.0,0,2000.0,7,2000.0
Dorsey & Whitney LLP,5081,4,Incidental,12/13/16,NA,Missoula,MT,"Ellis, Courtney",,,0.0,0,0.0,0,-32108.0
National Wildlife Federation,7729,3,Incidental,10/19/18,NA,Reston,VA,"Wagner, Karen",,Support: Yes for Responsible Mining,0.0,0,0.0,0,-139658.18
Montana Smoke Free Association,7508,5,Incidental,11/13/18,NA,Hamilton,MT,"Marshall, Deanna",,Oppose: I-185: Raise tobacco taxes to fund health care programs,0.0,0,0.0,0,-114.0
Liberty County Republican Central Cmte.,289,9,Political Party,09/14/17,NA,Chester,MT,"Good, Lila",,,0.0,0,0.0,0,0.0
Sacajawea Audubon Society,7412,1,Incidental,06/21/18,NA,Bozeman,MT,"Hayward, Janne",,Support: Open Lands Levy (Gallatin County),0.0,0,0.0,0,-350.0
Great Schools Billings,8498,4,Ballot Issue,04/06/20,NA,Billings,MT,"Vannatta, Jeremy","Driscoll, Robyn",Support: $1.6 million elementary mill levy,3673.0,3,17336.88,26,13713.88
Lazy C LLC Fritzies Casino,8167,1,Incidental,12/29/19,NA,Helena,MT,"Wenetta, Katie",,Support: To Support Conservative Candidates and Causes,500.0,1,0.0,0,-500.0
